language,Audio_transcript,File,Cohort,Sub_Cohort,Duration_mins,Duration_Cat,Gender_Type,Region,Age_Group,Overlap,Gap,Conv_Density,S1_State,S2_State,Total_Gap_s,Total_Overlap_s,provider,model,num_segments,real_time_factor,processing_time_s,WER,CER,MER,WIL,WIP,S,S_%,D,D_%,I,I_%,lwWER,toWER,OIWER,script_penalty,SemanticSim,LevenshteinSim,PIER,CS_Recall,CS_Precision,CS_F1
Indian Bengali,13uAQKvKm4pbNHIVjotmkCUGLX_1PN7Cq,Bengali (Kolkata)_360_1259,Bengali,All,12.98,Medium (5-15 min),Same Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,West Bengal,West Bengal,8,0,sarvam_v3,saaras:v3,144,n/a,0,0.28340,0.2097,0.2422,0.3247,0.6753,386,10.8,20,0.6,611,17,0.2923,0.2834,0.3259,-0.0088,0.6891,0.7903,1,0,1,0
Indian Bengali,1IOXHbgyoi0Xg07Bq4zeMWZaCTwJPyL1y,Bengali (Non Kolkata)_216_2140,Bengali (Non Kolkata),All,16.25,Long (15-30 min),Same Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,West Bengal,West Bengal,1,0,soniox,stt-async-v4,12,0.04x,34.69,0.28300,0.21,0.2485,0.3464,0.6536,502,12.6,71,1.8,553,13.9,0.2919,0.2822,0.3183,-0.0089,0.9974,0.79,1,0,1,0
telugu,1KwFPmrxrVr3mSoOWwdNJMhF-o293RxVk,Telugu_398_1140,Telugu,All,11.67,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Andhra Pradesh,Andhra Pradesh,5,0,aws_transcribe,aws-transcribe,59,n/a,0,0.28260,0.2167,0.243,0.3295,0.6705,368,11.3,22,0.7,532,16.3,0.2752,0.2826,0.3041,0.0074,0.9886,0.7833,1,0,1,0
assamese,14cewj1nHjDXftNnWFBuYZryDmcOOLlHr,Assamese_168_2803,Assamese,All,19,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Low (1-5s),Monologue-like,,,5,0,elevenlabs,scribe_v2,200,0.39x,447.735,0.22310,0.171,0.2201,0.3125,0.6875,696,10.5,694,10.5,91,1.4,0.2297,0.2216,0.2332,-0.0066,0.971,0.829,0.1193,0.83,0.5123,0.6336
Indian Bengali,1TYRGaFH5lHeyyvE9Zi-e5cdZiFZe_VzO,Bengali (Kolkata)_329_1747,Bengali,All,17.78,Long (15-30 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Rapid Exchange,West Bengal,West Bengal,10,0,gemini_pro,gemini-2.5-pro,250,0.28x,275.865,0.28200,0.2127,0.2425,0.3289,0.6711,548,11.2,34,0.7,793,16.3,0.29,0.282,0.3212,-0.008,0.9804,0.7873,0.9896,0.0121,1,0.0239
gujarati,1yBQk2FRxEALWWctYgaVFMhVGDB2Lxc3_,Gujarati_411_1851,Gujarati,All,18.85,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Gujarat,Gujarat,9,0,elevenlabs,scribe_v2,96,0.06x,67.232,0.28200,0.2552,0.2814,0.3717,0.6283,556,10.3,952,17.7,12,0.2,0.282,0.282,0.2822,0,0.4839,0.747,0,1,0,0
Indian Bengali,1FSL4bDBddwwJDYIpTw5hrx-Kip759005,Bengali (Kolkata)_223_1014,Bengali,All,10.23,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,West Bengal,West Bengal,5,0,gemini_pro,gemini-2.5-pro,78,0.16x,91.833,0.28190,0.2149,0.2427,0.3282,0.6718,319,11.1,27,0.9,466,16.2,0.2902,0.2819,0.3229,-0.0083,0.9994,0.7851,1,0,1,0
Indian Bengali,1K42GG3g1ByYNu9QTdxaEIqtfQlB1FPIp,Bengali (Non Kolkata)_119_2006,Gap,No Gap,10.62,Medium (5-15 min),Same Gender,Same State,Same Age Group,No Overlap,No Gap,Monologue-like,West Bengal,West Bengal,0,0,sarvam_v2,saarika:v2.5,23,n/a,0,0.28190,0.2243,0.2682,0.348,0.652,266,8.7,439,14.4,156,5.1,0.2895,0.2819,0.2968,-0.0075,0.9973,0.7757,1,0,1,0
kannada,1sfpwVbcsprd2Jw9UAmwnipQincitTjk-,Kannada_282_1527,Kannada,All,15.45,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Karnataka,Karnataka,3,0,soniox,stt-async-v4,25,0.18x,170.896,0.28180,0.2053,0.2433,0.3281,0.6719,490,10.8,69,1.5,714,15.8,0.2777,0.2818,0.2966,0.0041,0.9985,0.7947,1,0,1,0
assamese,1MsPfF_fY0zbls4shEmoopnhnDhIqR1KD,Assamese_59_3123,Assamese,All,23.55,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Low (1-5s),Monologue-like,,,1,0,gemini_flash,gemini-2.5-flash,263,0.11x,154.329,0.28120,0.2234,0.2366,0.2906,0.7094,375,6.5,165,2.8,1093,18.8,0.2946,0.2782,0.2957,-0.0134,1,0.8079,0,1,1,1
telugu,10vFroT0tcPBDFt1Bpf9im0RRpmDYraZU,Telugu_121_1700,Telugu,All,17,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Telangana,Telangana,6,0,gemini_flash,gemini-2.5-flash,166,0.15x,154.212,0.28050,0.2144,0.2384,0.3147,0.6853,459,9.9,23,0.5,819,17.7,0.2806,0.2805,0.3042,-0.0001,0.9755,0.7856,1,0,1,0
telugu,10vFroT0tcPBDFt1Bpf9im0RRpmDYraZU,Telugu_121_1700,Telugu,All,17,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Telangana,Telangana,6,0,aws_transcribe,aws-transcribe,95,n/a,0,0.28010,0.216,0.2394,0.318,0.682,470,10.1,40,0.9,789,17,0.2787,0.2801,0.3017,0.0014,0.9759,0.784,1,0,1,0
Indian Bengali,1FSL4bDBddwwJDYIpTw5hrx-Kip759005,Bengali (Kolkata)_223_1014,Bengali,All,10.23,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,West Bengal,West Bengal,5,0,sarvam_v2,saarika:v2.5,80,n/a,0,0.27950,0.214,0.2414,0.3298,0.6702,331,11.5,19,0.7,455,15.8,0.2902,0.2795,0.3205,-0.0107,0.9994,0.786,1,0,1,0
kannada,1sfpwVbcsprd2Jw9UAmwnipQincitTjk-,Kannada_282_1527,Kannada,All,15.45,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Karnataka,Karnataka,3,0,aws_transcribe,aws-transcribe,60,n/a,0,0.27910,0.2055,0.2419,0.3275,0.6725,493,10.9,74,1.6,694,15.4,0.2726,0.2791,0.2916,0.0065,0.9987,0.7945,1,0,1,0
telugu,11TSC4edLDI5xlXzwl4p74sJ-tH-7a1ed,Telugu_148_1617,Telugu,All,16.28,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Telangana,Telangana,14,0,gemini_pro,gemini-2.5-pro,197,0.22x,217.873,0.27880,0.2117,0.2365,0.3086,0.6914,441,9.3,34,0.7,850,17.9,0.2855,0.2788,0.3139,-0.0066,0.9989,0.7883,0.8975,0.1311,0.9697,0.231
chattishgarhi,1bQ1dqhn4TFeUQk-nwL_MOSHI0WXpAt2n,Audio151,Chattishgarhi,All,15.15,Long (15-30 min),Same Gender,Unknown,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,,,9,0,aws_transcribe,aws-transcribe,74,n/a,0,0.27870,0.1892,0.2612,0.3828,0.6172,644,15.1,257,6,284,6.7,0.2787,0.2787,0.2855,0,0.8334,0.8108,1,0,1,0
telugu,115FSi8Gx2z9rjGD7tQnSvmCPYKp-wkcg,Telugu_271_1305,Telugu,All,13.08,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Andhra Pradesh,Andhra Pradesh,8,0,gemini_flash,gemini-2.5-flash,230,0.11x,85.409,0.27860,0.2015,0.2426,0.334,0.666,417,11.8,43,1.2,525,14.8,0.2728,0.2786,0.3014,0.0058,0.9839,0.7985,0.7302,0.3077,0.9877,0.4692
Indian Bengali,10foYhbHEG_keQH7T3fJTz9PZEMpWugbG,Bengali (Kolkata)_300_0823,Bengali,All,8.38,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,West Bengal,West Bengal,4,0,microsoft,ConversationTranscriber,20,0.58x,267.223,0.27770,0.1966,0.2442,0.3381,0.6619,290,11.9,52,2.1,333,13.7,0.2831,0.2777,0.3036,-0.0055,0.8511,0.8034,1,0,1,0
Spoken Tamil,1-N4p_BDuepm5SKapljqhZJKek74QJyXK,Tamilish_390_1055,Spoken Tamil,All,10.92,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,7,0,openai_gpt4o,gpt-4o-transcribe,435,0.19x,116.91,0.27760,0.1837,0.2621,0.3587,0.6413,355,11.2,339,10.7,188,5.9,0.2776,0.2776,0.2832,0,0.9482,0.8163,0.2217,0.7986,0.9456,0.8659
assamese,1202QpKzhNQPRZ1bg1346D1ErR4L-Gv8U,Assamese_46_3255,Gap,No Gap,24.7,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,No Gap,Monologue-like,,,0,0,elevenlabs,scribe_v2,281,0.14x,211.235,0.04780,0.0433,0.0472,0.0624,0.9376,157,1.6,177,1.7,150,1.5,0.0499,0.0476,0.0502,-0.0021,1,0.9574,0,1,0.7325,0.8456
malayalam,1wwzeBSiULwcC0lAtp7nMLgXm5dyRNgNY,Malyalam_191_1709,Malayalam,All,17.15,Long (15-30 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,Low (1-5s),Monologue-like,Kerala,Kerala,1,0,gemini_flash,gemini-2.5-flash,319,0.12x,127.529,0.27730,0.2042,0.2368,0.3132,0.6868,586,9.8,47,0.8,1021,17.1,0.2776,0.2773,0.2944,-0.0002,0.8986,0.8021,0.9804,0.0321,0.8571,0.0619
chattishgarhi,1aFHh7CVqAN6Bpbsigwikx6WrnEX9oK6m,Audio154,Chattishgarhi,All,15.18,Long (15-30 min),Same Gender,Unknown,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,,,10,0,aws_transcribe,aws-transcribe,66,n/a,0,0.27720,0.2019,0.2622,0.364,0.636,456,11.9,384,10.1,219,5.7,0.2772,0.2772,0.2815,0,0.9863,0.7981,1,0,1,0
chattishgarhi,1asVUMO650sG1tVsrE9oaemx5dUhxLck7,Chattishgarhi_25_2040,Chattishgarhi,All,15.5,Long (15-30 min),Same Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Chhattisgarh,Chhattisgarh,12,0,gemini_flash,gemini-2.5-flash,380,0.15x,136.64,0.27660,0.1662,0.2499,0.3652,0.6348,614,14.9,89,2.2,440,10.6,0.2766,0.2766,0.2793,0,0.9439,0.8447,0.7455,0.3182,1,0.4828
kannada,1ZWY65knno5_H2f56rzVyBXy3g8Ha90Bd,Kannada_76_1454,Kannada,All,14.9,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Karnataka,Karnataka,12,0,aws_transcribe,aws-transcribe,177,n/a,0,0.27590,0.1969,0.2391,0.3235,0.6765,458,10.8,62,1.5,655,15.4,0.2747,0.2759,0.289,0.0012,0.8967,0.8031,1,0,1,0
Indian Bengali,1cg1sGP6EbqeVpXpxEvJYpmHGcQcwc8ez,Bengali (Non Kolkata)_281_2053,Bengali (Non Kolkata),All,15.67,Long (15-30 min),Same Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,West Bengal,West Bengal,16,0,aws_transcribe,aws-transcribe,59,n/a,0,0.27500,0.2338,0.2639,0.3526,0.6474,406,10,542,13.3,172,4.2,0.2799,0.275,0.2832,-0.0049,0.9953,0.7662,1,0,1,0
Indian Bengali,1sJFqpr9vgYpMvFBWcJM1TTooJWhCOaVu,Bengali (Non Kolkata)_223_2256,Bengali (Non Kolkata),All,11.47,Medium (5-15 min),Same Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,West Bengal,West Bengal,5,0,gemini_pro,gemini-2.5-pro,140,0.27x,182.996,0.27370,0.2085,0.2378,0.3201,0.6799,348,10.4,63,1.9,507,15.1,0.2859,0.2737,0.3057,-0.0122,0.7782,0.7924,1,0,0,0
bhojpuri,1YyEhj7miwWoDqcgnLl7wpsrCD-ZfknMt,Audio262,Bhojpuri,All,8.98,Medium (5-15 min),Same Gender,Unknown,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,,,8,0,gemini_flash,gemini-2.5-flash,140,0.17x,89.647,0.27350,0.1456,0.2613,0.3939,0.6061,390,16.6,142,6.1,109,4.7,0.2736,0.2735,0.2731,-0.0001,0.99,0.856,0.6667,0.3333,0.0909,0.1429
Indian Bengali,1cg1sGP6EbqeVpXpxEvJYpmHGcQcwc8ez,Bengali (Non Kolkata)_281_2053,Bengali (Non Kolkata),All,15.67,Long (15-30 min),Same Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,West Bengal,West Bengal,16,0,gemini_flash,gemini-2.5-flash,392,0.14x,128.271,0.27330,0.2074,0.2415,0.3252,0.6748,415,10.2,161,4,537,13.2,0.2787,0.2733,0.2904,-0.0053,0.9952,0.796,0.9704,0.0377,1,0.0727
kannada,1HdJVbwb5iYCBt_jcNijvb0wI4u8vBPTY,Kannada_275_2033,Kannada,All,20.55,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Karnataka,Karnataka,4,0,gemini_flash,gemini-2.5-flash,315,0.16x,197.197,0.27330,0.1973,0.2366,0.3198,0.6802,640,10.6,75,1.2,933,15.5,0.2685,0.2733,0.2874,0.0048,1,0.8027,0.9796,0.0167,1,0.0328
Indian Bengali,1sJFqpr9vgYpMvFBWcJM1TTooJWhCOaVu,Bengali (Non Kolkata)_223_2256,Bengali (Non Kolkata),All,11.47,Medium (5-15 min),Same Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,West Bengal,West Bengal,5,0,soniox,stt-async-v4,98,0.28x,191.507,0.27310,0.2069,0.2363,0.3175,0.6825,346,10.3,47,1.4,523,15.6,0.2869,0.2731,0.3081,-0.0137,0.7799,0.7956,1,0,1,0
urdu,10Bzb6O7EVqQ8TwL0k1wInNUAisTjRDsn,Urdu_47_1642,Urdu,All,16.7,Long (15-30 min),Mixed Gender,Cross State,Mixed Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Uttar Pradesh,Karnataka,7,0,speechmatics,speechmatics-batch,68,0.06x,52.239,0.27310,0.2403,0.2718,0.3371,0.6629,237,7.1,657,19.7,16,0.5,0.2731,0.2731,0.2734,0,0.6704,0.7597,1,0,1,0
Indian Bengali,1FSL4bDBddwwJDYIpTw5hrx-Kip759005,Bengali (Kolkata)_223_1014,Bengali,All,10.23,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,West Bengal,West Bengal,5,0,soniox,stt-async-v4,79,0.15x,85.158,0.27220,0.2071,0.2347,0.3178,0.6822,309,10.7,15,0.5,460,16,0.2831,0.2722,0.3125,-0.0108,0.9993,0.7929,1,0,1,0
kannada,1HdJVbwb5iYCBt_jcNijvb0wI4u8vBPTY,Kannada_275_2033,Kannada,All,20.55,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Karnataka,Karnataka,4,0,soniox,stt-async-v4,49,0.14x,166.64,0.27180,0.1972,0.235,0.3162,0.6838,624,10.3,72,1.2,943,15.6,0.2665,0.2718,0.2858,0.0053,0.9997,0.8028,1,0,1,0
Spoken Tamil,1cogTeDetnUYHCB5OtveKyGmzHxprmIWj,Tamil_86_1725,Spoken Tamil,All,17.42,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,6,0,soniox,stt-async-v4,75,0.13x,133.462,0.27180,0.204,0.2355,0.3174,0.6826,655,10.4,87,1.4,970,15.4,0.2699,0.2718,0.2872,0.0019,0.995,0.796,0.9976,0.0046,1,0.0092
kannada,1ZWY65knno5_H2f56rzVyBXy3g8Ha90Bd,Kannada_76_1454,Kannada,All,14.9,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Karnataka,Karnataka,12,0,sarvam_v3,saaras:v3,153,n/a,0,0.27100,0.1937,0.2355,0.3193,0.6807,453,10.6,60,1.4,641,15.1,0.27,0.271,0.2839,0.0009,0.8961,0.8063,0.9969,0.0058,1,0.0115
Indian Bengali,1FSL4bDBddwwJDYIpTw5hrx-Kip759005,Bengali (Kolkata)_223_1014,Bengali,All,10.23,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,West Bengal,West Bengal,5,0,sarvam_v3,saaras:v3,80,n/a,0,0.27080,0.2081,0.234,0.3185,0.6815,315,10.9,12,0.4,453,15.7,0.2791,0.2708,0.3098,-0.0083,0.9994,0.7919,1,0,1,0
gujarati,1LmG4pttC9CgJf8arazbszVsVtElSzcSZ,Guharati_412_1903,Gujarati,All,19.05,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Gujarat,Gujarat,13,0,elevenlabs,scribe_v2,173,0.13x,149.478,0.27070,0.2472,0.27,0.363,0.637,576,10.6,875,16.2,13,0.2,0.27,0.2707,0.2695,0.0007,0.9721,0.7573,0,1,0,0
nepali,1-SHtlemcF7PqMP1MAD0OhzNWy-MXWzxy,Nepali_77_1646,Nepali,All,16.77,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Nepal,Nepal,7,0,gemini_flash,gemini-2.5-flash,255,0.13x,130.695,0.26980,0.2068,0.2311,0.307,0.693,458,9.8,22,0.5,785,16.7,0.27,0.2698,0.2897,-0.0002,0.5244,0.7932,0.9853,0.0231,1,0.0452
assamese,1202QpKzhNQPRZ1bg1346D1ErR4L-Gv8U,Assamese_46_3255,Gap,No Gap,24.7,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,No Gap,Monologue-like,,,0,0,microsoft,ConversationTranscriber,78,0.49x,726.432,0.26900,0.1923,0.2544,0.359,0.641,1252,12.4,890,8.8,579,5.7,0.2951,0.2679,0.3,-0.0261,0.9989,0.8077,1,0,1,0
kannada,1ZWY65knno5_H2f56rzVyBXy3g8Ha90Bd,Kannada_76_1454,Kannada,All,14.9,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Karnataka,Karnataka,12,0,gemini_pro,gemini-2.5-pro,150,0.22x,201.168,0.26880,0.1938,0.2333,0.3135,0.6865,431,10.1,65,1.5,649,15.2,0.2679,0.2688,0.2819,0.0009,0.8968,0.8062,1,0,1,0
kannada,1sfpwVbcsprd2Jw9UAmwnipQincitTjk-,Kannada_282_1527,Kannada,All,15.45,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Karnataka,Karnataka,3,0,sarvam_v2,saarika:v2.5,64,n/a,0,0.26870,0.2008,0.2327,0.3125,0.6875,456,10.1,60,1.3,698,15.4,0.2648,0.2687,0.2828,0.0039,0.9988,0.7992,0.9909,0.0109,1,0.0216
chattishgarhi,1Zv3pLbv6N2mKSTpcIPKOBnU9Y39K4ona,Audio116,Chattishgarhi,All,15.1,Long (15-30 min),Same Gender,Unknown,Same Age Group,No Overlap,Low (1-5s),Monologue-like,,,4,0,aws_transcribe,aws-transcribe,95,n/a,0,0.26840,0.1734,0.2596,0.3782,0.6218,514,14.3,329,9.2,122,3.4,0.2684,0.2684,0.2687,0,0.9809,0.8266,1,0,1,0
telugu,10vFroT0tcPBDFt1Bpf9im0RRpmDYraZU,Telugu_121_1700,Telugu,All,17,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Telangana,Telangana,6,0,gemini_pro,gemini-2.5-pro,192,0.20x,208.476,0.26840,0.207,0.2294,0.3028,0.6972,438,9.4,17,0.4,790,17,0.2683,0.2684,0.2909,0.0001,0.9778,0.793,0.9807,0.0233,1,0.0455
Indian Bengali,1lEii1SK024_-WuZXiYuGHONkuwhQXqPE,Bengali (Kolkata)_91_1556,Bengali,All,15.93,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,West Bengal,West Bengal,11,0,gemini_flash,gemini-2.5-flash,244,0.17x,162.492,0.26780,0.1937,0.2303,0.307,0.693,417,9.8,29,0.7,692,16.3,0.2722,0.2678,0.3059,-0.0043,0.9996,0.8063,0.7443,0.2846,0.95,0.438
Spoken Hindi,1r92AWQHlZqP_dqrBKNOiiHiVi40dpxVk,Hinglish_790_1625,Spoken Hindi,All,16.42,Long (15-30 min),Same Gender,Cross State,Mixed Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Chandigarh,Chhattisgarh,14,0,assemblyai,universal,117,0.38x,349.231,0.26760,0.2153,0.2401,0.3352,0.6648,566,11.8,171,3.6,551,11.4,0.2677,0.2676,0.2844,-0.0002,0.6556,0.7847,1,0,1,0
Indian Bengali,1IOXHbgyoi0Xg07Bq4zeMWZaCTwJPyL1y,Bengali (Non Kolkata)_216_2140,Bengali (Non Kolkata),All,16.25,Long (15-30 min),Same Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,West Bengal,West Bengal,1,0,gemini_pro,gemini-2.5-pro,116,0.14x,135.505,0.26740,0.2005,0.2355,0.3264,0.6736,458,11.5,67,1.7,539,13.5,0.2754,0.2672,0.3005,-0.008,0.9972,0.7995,1,0,1,0
kannada,1ZWY65knno5_H2f56rzVyBXy3g8Ha90Bd,Kannada_76_1454,Kannada,All,14.9,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Karnataka,Karnataka,12,0,gemini_flash,gemini-2.5-flash,153,0.12x,104.399,0.26700,0.1933,0.2319,0.3116,0.6884,428,10,64,1.5,645,15.1,0.266,0.267,0.2794,0.0009,0.8968,0.8067,0.9938,0.0058,0.5,0.0114
marathi,1k6OGHGMNrDMwaSYm4YBilzoroV5GOri6,MARATHI_449_1415,Marathi,All,14.25,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Maharashtra,Maharashtra,9,0,gemini_pro,gemini-2.5-pro,138,0.24x,204.821,0.26680,0.2331,0.2659,0.3491,0.6509,422,9.4,765,17,16,0.4,0.2654,0.2668,0.2651,0.0014,0.3554,0.7696,0,1,0,0
kannada,1sfpwVbcsprd2Jw9UAmwnipQincitTjk-,Kannada_282_1527,Kannada,All,15.45,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Karnataka,Karnataka,3,0,sarvam_v3,saaras:v3,64,n/a,0,0.26630,0.2016,0.2315,0.3117,0.6883,457,10.1,67,1.5,679,15,0.2624,0.2663,0.2799,0.0039,0.9988,0.7984,0.997,0.0055,1,0.0109
haryanvi,18Pu3y0nCskT-MONuxWPPg12EFLGmkbWR,Audio37,Haryanvi,All,14.93,Medium (5-15 min),Same Gender,Unknown,Same Age Group,No Overlap,High (>20s),Rapid Exchange,,,21,0,aws_transcribe,aws-transcribe,130,n/a,0,0.26610,0.1798,0.2469,0.3627,0.6373,655,14.4,200,4.4,353,7.8,0.2663,0.2661,0.2721,-0.0002,0.8545,0.8202,1,0,1,0
Indian Bengali,1FSL4bDBddwwJDYIpTw5hrx-Kip759005,Bengali (Kolkata)_223_1014,Bengali,All,10.23,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,West Bengal,West Bengal,5,0,gemini_flash,gemini-2.5-flash,113,0.13x,70.571,0.26600,0.2036,0.2302,0.3117,0.6883,301,10.5,17,0.6,448,15.6,0.2756,0.266,0.3042,-0.0096,1,0.7964,0.9782,0.0147,1,0.029
kannada,1HdJVbwb5iYCBt_jcNijvb0wI4u8vBPTY,Kannada_275_2033,Kannada,All,20.55,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Karnataka,Karnataka,4,0,sarvam_v3,saaras:v3,92,n/a,0,0.26600,0.1948,0.2314,0.3123,0.6877,616,10.2,86,1.4,902,15,0.261,0.266,0.2799,0.005,0.9997,0.8052,0.9932,0.0083,1,0.0165
kannada,1HdJVbwb5iYCBt_jcNijvb0wI4u8vBPTY,Kannada_275_2033,Kannada,All,20.55,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Karnataka,Karnataka,4,0,sarvam_v2,saarika:v2.5,92,n/a,0,0.26580,0.1941,0.2313,0.3126,0.6874,619,10.3,85,1.4,899,14.9,0.2605,0.2658,0.2791,0.0053,0.9998,0.8059,0.991,0.0083,1,0.0165
kannada,1e4E5zr93ZlEH7d_QJ_rbsWIRzEJw7rrH,Kannada_393_1748,Kannada,All,17.8,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Karnataka,Karnataka,6,0,elevenlabs,scribe_v2,40,0.14x,149.205,0.26480,0.1852,0.2312,0.3159,0.6841,537,10.7,61,1.2,725,14.5,0.2635,0.2648,0.3006,0.0013,0.99,0.8148,0.6316,0.4795,1,0.6482
Spoken Tamil,1bY-5jIXT31jZnteTPPagJ9bUesGO0i6H,Tamilish_26_1524,Spoken Tamil,All,15.4,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,8,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,442,0.29x,251.191,0.26480,0.1574,0.2492,0.3453,0.6547,469,11.2,379,9,263,6.3,0.2663,0.2648,0.3093,-0.0015,0.9657,0.8426,0.1112,0.9123,0.9533,0.9324
Spoken Tamil,1kJseMILtf9MoFxbp8CPTpuRAzO81rCDQ,Tamilish_549_2254,Spoken Tamil,All,22.9,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,High (>20s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,38,0,speechmatics,speechmatics-batch,115,0.04x,55.107,0.26370,0.1843,0.2376,0.3312,0.6688,771,11.5,264,3.9,740,11,0.264,0.2637,0.2674,-0.0003,0.9595,0.8157,0.5142,0.5823,0.8654,0.6962
bhojpuri,1TgIk5YZX60mLzAaKd9iG-NZwjxmvp7NK,Audio250,Bhojpuri,All,5.1,Medium (5-15 min),Same Gender,Unknown,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,,,4,0,gemini_pro,gemini-2.5-pro,63,0.33x,101.622,0.26310,0.165,0.2537,0.3704,0.6296,212,14,129,8.5,56,3.7,0.2631,0.2631,0.2633,0,0.8033,0.8365,0.2222,0.8571,0.1714,0.2857
